Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
Mysore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.3051828,76.6553609
bandipur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,27.937929,84.406784
tumkur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.4999406,77.0002445
mangalore,1,0,0,0,0,0,0,0,0,0,0,1,Dec,Jan,15.9231076,75.7622963
dandeli,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov,15.2490284,74.6236037
channarayapatna,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.2455918,77.797084
nandi-hills,1,1,1,1,1,1,1,1,1,1,1,1,Jan,Dec,0.1063314,35.1855938
belgaum,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,15.8572666,74.5069343
bidar,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,43.4379819,-1.5778209214842
chikmagalur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.5,75.5
hubli,1,1,0,0,0,0,0,0,0,0,0,0,Jan,Feb,15.3518378,75.1379848
k-gudi,1,1,1,1,1,0,0,0,0,0,0,1,Dec,May,11.948736,8.051201
bijapur,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,16.8269911,75.7175387
belur,1,1,1,1,1,1,1,1,1,1,1,1,Jan,Dec,13.1645671,75.8634851
gangavathi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
hassan,0,0,1,0,0,0,0,0,0,1,0,0,Oct,Mar,34.0203199,-6.82369322142312
madikeri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.4204003,75.740031
raichur,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,16.083333,77.166667
gokarn,1,1,1,1,1,1,1,1,1,1,1,1,Jan,Dec,14.5439629,74.3184418
coorg,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,12.9363343,77.6151183
badami,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,15.9203874,75.6807865
uttara-kannada,1,1,1,1,1,1,1,1,1,1,1,1,Jan,Dec,14.883333,74.583333
gulbarga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.3310003,76.8334228
bangalore,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,12.9791198,77.5912997
shimoga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.9311723,75.569737
dharmasthala,1,0,0,0,0,0,0,0,0,0,1,1,Nov,Jan,12.9519571,75.3813122
bellary,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,15.2485413,76.8323648
jog-falls,0,0,0,0,0,0,1,1,1,1,1,1,Jul,Dec,14.2276106,74.8128715
hampi,0,0,0,0,0,0,0,0,0,0,1,0,Nov,Nov,44.8237422,15.88531765
shravanabelagola,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.8581305,76.4869997
bheemeshwari,1,1,0,0,0,0,0,1,1,1,1,1,Aug,Feb,12.3124122,77.2778171
manipal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.3519723,74.7870308
dharwad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,15.4540505,75.0066516
karwar,1,1,1,1,0,0,0,0,0,0,1,1,Nov,Apr,14.8120931,74.1319229
ganeshgudi,1,1,1,1,1,1,1,1,1,1,1,1,Jan,Dec,15.2815822,74.5335693
halebid,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,13.2167959,75.9918793
kudremukh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.2144007,75.2523304
bhagamandala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.3857285,75.5290234
nagarhole,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,12.0152377,76.1544871
chitradurga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,14.2266443,76.4005122
udupi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.3419169,74.7473232
siddapur,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,13.6626885,74.911019
dubare,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,13.463892,4.331971
