Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
gajraula,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov,28.8360988,78.2452916
bareilly,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec,28.3523609,79.4096542
faizabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.75,82.0
jhansi,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,25.4502464,78.5800085
agra,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,27.1752554,78.0098161
sultanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.25,82.0
aligarh,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb,27.833333,78.166667
rampur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,28.78157495,79.1646758951562
shahjahanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.966043,79.775837230898
vrindavan,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,27.5687726,77.684567913148
noida,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,28.5726442,77.3547609
mathura,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.4955539,77.6855554
allahabad,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,25.2859603,81.896732069544
kanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.4609135,80.3217588
varanasi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.3356491,83.0076292
ayodhya,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.7990707,82.2052321
lucknow,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec,26.8381,80.9346001
saharanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,29.9637438,77.5427464
ghaziabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,28.6711527,77.4120356
chitrakoot,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.1743883,80.8691307
moradabad,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov,28.8170328,78.7777028569385
fatehpur sikri,1,1,1,1,0,0,0,0,1,1,1,1,Sept,Apr,27.0911655,77.6623984
gorakhpur,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec,26.7600217,83.3668129
balrampur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.4295126,82.1854602
garhmukteshwar,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,Null,Null
etawah,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.8063069,78.9969944
lalitpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.68696695,78.5097682139541
greater noida,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,28.4670734,77.5137649
meerut,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec,28.9963296,77.7061915
kurukshetra,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.0,76.75
faridabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,28.402837,77.3085626
panchkula,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,30.6975401,76.8551066
hisar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,29.168807,75.7461103
gurgaon,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,28.48895715,77.0107837846576
panipat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,29.3912753,76.9771675
sonipat,1,1,0,0,0,0,0,1,1,1,1,1,Aug,Feb,29.05587195,76.895369282819
ambala,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov,30.3843674,76.770421
karnal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,29.6803266,76.9896254
manesar,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,28.3563923,76.9371834
yamunanagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.1231349,77.286329
bhiwani,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,28.7931703,76.1391283
kalka,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,30.8366771,76.9369298
bidar,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,43.4379819,-1.5778209214842
bellary,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,15.2485413,76.8323648
manipal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.3519723,74.7870308
bandipur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,27.937929,84.406784
chikmagalur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.5,75.5
madikeri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.4204003,75.740031
hubli,1,1,1,1,1,0,0,0,0,0,0,0,Jan,May,15.3518378,75.1379848
tumkur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.4999406,77.0002445
nagarhole,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,12.0152377,76.1544871
shimoga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.9311723,75.569737
coorg,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,12.9363343,77.6151183
hospet,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,49.115635,10.754535
gangavathi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
udupi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,13.3419169,74.7473232
chitradurga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,14.2266443,76.4005122
belgaum,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,15.8572666,74.5069343
uttara kannada,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,14.883333,74.583333
gulbarga,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan,17.3310003,76.8334228
hassan,0,0,1,0,0,0,0,0,0,1,0,0,Oct,Mar,34.0203199,-6.82369322142312
