Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End
gajraula,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov
bareilly,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
faizabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
jhansi,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
agra,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
sultanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
aligarh,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb
rampur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
shahjahanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vrindavan,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
noida,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
mathura,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
allahabad,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
kanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
varanasi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ayodhya,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
lucknow,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec
saharanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ghaziabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chitrakoot,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
moradabad,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov
fatehpur sikri,1,1,1,1,0,0,0,0,1,1,1,1,Sept,Apr
gorakhpur,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
balrampur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
garhmukteshwar,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
etawah,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
lalitpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
greater noida,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
meerut,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec
kurukshetra,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
faridabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
panchkula,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
hisar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
gurgaon,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
panipat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sonipat,1,1,0,0,0,0,0,1,1,1,1,1,Aug,Feb
ambala,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov
karnal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
manesar,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
yamunanagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bhiwani,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
kalka,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
bidar,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
bellary,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
manipal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bandipur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
chikmagalur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
madikeri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
hubli,1,1,1,1,1,0,0,0,0,0,0,0,Jan,May
tumkur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
nagarhole,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
shimoga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
coorg,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
hospet,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
gangavathi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
udupi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chitradurga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
belgaum,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
uttara kannada,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
gulbarga,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan
hassan,0,0,1,0,0,0,0,0,0,1,0,0,Oct,Mar
badami,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
gokarn,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
belur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
mysore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bijapur,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
dandeli,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov
mangalore,1,0,0,0,0,0,0,0,0,0,0,1,Dec,Jan
bangalore,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
dharwad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
raichur,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
karwar,1,1,1,1,0,0,0,0,0,0,1,1,Nov,Apr
hampi,0,0,0,0,0,0,0,0,0,0,1,0,Nov,Nov
darjeeling,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov
baharampur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bishnupur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
durgapur,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
jalpaiguri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
asansol,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov
bagdogra,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
mandarmani,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
birbhum,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
siliguri,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
kurseong,0,0,0,0,0,1,1,1,0,0,0,0,Jun,Aug
kalimpong,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
barddhaman,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
howrah,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
kolkata,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
haldia,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
murshidabad,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
mirik,1,1,1,1,1,0,0,0,1,1,1,1,Sept,May
surat,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
porbandar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vapi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ahmedabad,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
saputara,0,0,1,1,1,1,1,1,1,1,0,0,Mar,Oct
mahesana,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
umbergaon,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sasan gir,0,0,1,1,0,0,0,0,0,0,0,0,Mar,Apr
gandhinagar,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
palanpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
rajkot,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan
bharuch,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
champaner,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
ambaji,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
anklesvar,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
kutch,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
vadodara,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
anand,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
gandhidham,1,1,1,1,0,0,0,1,1,1,1,1,Aug,Apr
veraval,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
bhuj,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
jamnagar,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
bhavnagar,1,1,1,0,0,0,0,0,0,0,0,1,Dec,Mar
balasinor,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dharampur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
surendranagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
junagadh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
somnath,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dwarka,1,1,1,0,0,0,0,0,0,0,0,1,Dec,Mar
cuttack,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chandipur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
gopalpur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
konark,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
jharsuguda,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bhubaneswar,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
simlipal,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
dhenkanal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
paradip,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bhadrak,1,1,1,1,1,1,0,0,0,1,1,1,Oct,Jun
raurkela,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
baleshwar,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
puri,0,0,0,0,0,0,0,0,0,0,1,0,Nov,Nov
diu,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
daman,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
shillong,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
cherrapunjee,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan
hazaribagh,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
dhanbad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
jamshedpur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
ranchi,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov
bokaro,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
deoghar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
kasauli,0,0,0,1,1,1,0,0,0,0,0,0,Apr,Jun
solan,0,1,1,1,1,1,1,1,1,1,1,0,Feb,Nov
mcleodganj,1,1,1,1,1,1,0,0,1,1,1,1,Sept,Jun
kaza,0,0,0,0,1,1,1,1,1,1,0,0,May,Oct
baddi,0,0,1,1,1,1,1,1,1,0,0,0,Mar,Sept
palampur,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun
kulu,1,1,1,1,1,1,0,0,1,1,1,1,Sept,Jun
dalhousie,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
kangra,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun
kinnaur,0,0,0,0,0,0,0,0,0,1,0,0,Oct,Oct
renukaji,0,0,0,0,0,1,1,1,1,1,0,0,Jun,Oct
hamirpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
narkanda,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
bhuntar,1,1,0,0,0,0,0,0,0,0,0,0,Jan,Feb
barog,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chamba,0,0,0,1,0,0,0,0,0,0,0,0,Apr,Apr
kyelang,0,0,0,0,0,1,1,1,1,0,0,0,Jun,Sept
chail,0,0,0,1,1,1,0,0,1,1,1,0,Sept,Jun
kufri,0,0,1,0,0,0,0,0,0,0,1,0,Nov,Mar
dharmsala,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
jogindernagar,0,0,0,0,0,0,0,0,1,1,1,1,Sept,Dec
chintpurni,0,0,0,1,1,1,1,1,1,0,0,0,Apr,Sept
sangla,0,0,0,0,0,0,0,0,1,1,1,1,Sept,Dec
parwanoo,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
thaneek pura,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
shimla,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
manali,0,0,0,0,0,0,1,1,0,0,0,0,Jul,Aug
anantnag,0,0,0,0,1,1,1,1,1,1,0,0,May,Oct
gulmarg,0,0,0,0,1,0,0,0,0,0,0,0,May,May
patnitop,0,1,1,0,0,0,0,0,0,0,0,0,Feb,Mar
leh,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun
pangong,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
nubra valley,0,0,0,0,0,0,1,1,1,0,0,0,Jul,Sept
